Date,Stock,Open,High,Low,Close,Volume,Market_Status
01-01-2023,AAPL,178.17,179.76,176.19,177.51,4697739,Corrupt$
02-01-2023,AAPL,176.76,178.46,175.89,176.66,2436513,Err#404
03-01-2023,AAPL,177.33,179.08,176.06,177.55,3805742,Missing!
04-01-2023,AAPL,176.38,178.36,174.52,176.33,1970851,??Unknown??
05-01-2023,AAPL,174.92,176.61,173.24,174.58,1212917,Corrupt$
06-01-2023,AAPL,174.25,175.65,173.02,174.88,3435973,Missing!
07-01-2023,AAPL,178.35,179.36,176.43,177.71,3436598,Corrupt$
08-01-2023,AAPL,176.29,177.61,175.71,175.59,4986745,<NULL>
09-01-2023,AAPL,181.73,182.29,179.83,182.41,3157179,<NULL>
10-01-2023,AAPL,173.98,175.59,173.4,173.48,1951511,Corrupt$
11-01-2023,AAPL,174.28,175.45,172.96,174.42,3200993,Valid
12-01-2023,AAPL,177.48,178.01,175.64,,4702618,Valid
13-01-2023,AAPL,175.32,175.92,174.43,175.31,1118119,Corrupt$
14-01-2023,AAPL,173.58,174.66,172.37,172.91,4507324,Valid
15-01-2023,AAPL,177.4,178.78,176.42,176.76,4015530,??Unknown??
16-01-2023,AAPL,175.52,176.71,173.59,174.7,3419697,Err#404
17-01-2023,AAPL,179.48,180.91,177.74,180.32,1141462,Missing!
18-01-2023,AAPL,176.21,177.43,174.64,176.38,2827089,<NULL>
19-01-2023,AAPL,174.3,175.8,172.92,175.22,1044653,??Unknown??
20-01-2023,AAPL,175.91,176.74,174.18,176.93,4995477,Err#404
21-01-2023,AAPL,175.86,176.53,174.77,175.4,893186,Valid
22-01-2023,AAPL,173.73,175.12,172.56,174.61,4255490,Missing!
23-01-2023,AAPL,174.94,176.17,173.35,174.93,3804299,??Unknown??
24-01-2023,AAPL,172.01,172.55,170.97,,1262790,N/A
25-01-2023,AAPL,173,174.07,172.4,174.25,2250093,<NULL>
26-01-2023,AAPL,174.41,175.07,173.79,174.96,1720682,Corrupt$
27-01-2023,AAPL,173.92,175.21,173.24,173.56,3395018,<NULL>
28-01-2023,AAPL,173.91,175.01,172.11,174.4,1107317,Err#404
29-01-2023,AAPL,174.26,175.68,173.05,172.99,2600923,Err#404
30-01-2023,AAPL,173.94,175.65,172.37,174.19,2193675,N/A
31-01-2023,AAPL,175.13,176.08,174.04,173.63,1474303,N/A
01-02-2023,AAPL,174.2,176.14,173.31,173.22,4494417,Corrupt$
02-02-2023,AAPL,179.4,180.7,178.38,179.99,820580,Valid
03-02-2023,AAPL,178.53,179.96,176.84,175.86,3753507,<NULL>
04-02-2023,AAPL,179.59,181.12,178.16,181.4,3376237,??Unknown??
05-02-2023,AAPL,178.99,180.49,177.09,179.83,4131047,??Unknown??
06-02-2023,AAPL,184.41,185.68,182.89,182.58,1536658,??Unknown??
07-02-2023,AAPL,180.53,181.68,179.18,182.93,980674,Valid
08-02-2023,AAPL,182.45,183.03,181.03,185.12,893056,<NULL>
09-02-2023,AAPL,181.22,181.75,179.31,181.04,4783335,<NULL>
10-02-2023,AAPL,175.05,176.08,173.36,174.12,4112914,Corrupt$
11-02-2023,AAPL,178.77,179.77,178.24,180.46,683024,??Unknown??
12-02-2023,AAPL,184.06,185.14,182.76,183.72,1576048,Err#404
13-02-2023,AAPL,180.25,180.96,178.72,180.41,2657098,Err#404
14-02-2023,AAPL,179.75,181.36,178.13,180.97,1444353,Err#404
15-02-2023,AAPL,176.44,178.23,175.62,176.29,3909413,N/A
16-02-2023,AAPL,181.46,183.37,179.66,181.22,1551341,N/A
17-02-2023,AAPL,184.68,185.92,182.74,183.4,4999522,Valid
18-02-2023,AAPL,187.54,189.09,186.68,186.91,4330371,??Unknown??
19-02-2023,AAPL,180.7,182.48,178.87,180.44,2323980,N/A
20-02-2023,AAPL,176.75,177.87,176.1,175.51,2466849,Err#404
21-02-2023,AAPL,177.21,178.17,176.62,176.06,2221742,N/A
22-02-2023,AAPL,178.96,180.86,178.26,178.99,3795453,<NULL>
23-02-2023,AAPL,182.51,183.78,181.92,180.66,4125613,Err#404
24-02-2023,AAPL,184.18,185.43,182.41,183.3,2636491,??Unknown??
25-02-2023,AAPL,182.99,183.76,182.4,184.93,4064701,<NULL>
26-02-2023,AAPL,188.57,189.23,187.66,188.23,804543,Valid
27-02-2023,AAPL,182.64,184.41,181.99,182.17,4476173,Corrupt$
28-02-2023,AAPL,183.01,184.43,182.07,182.66,3612261,Corrupt$
01-03-2023,AAPL,182.76,183.74,182.12,182.42,1956498,<NULL>
02-03-2023,AAPL,183.94,184.73,182.44,184.51,4197925,Err#404
03-03-2023,AAPL,183.75,185.09,183.05,,4668986,N/A
04-03-2023,AAPL,190.54,191.91,188.76,190.15,3591287,N/A
05-03-2023,AAPL,192.16,192.97,190.43,191.94,1212932,Err#404
06-03-2023,AAPL,193.54,195.31,193.02,,1481271,??Unknown??
07-03-2023,AAPL,193.98,194.61,192.14,192.47,1492206,<NULL>
08-03-2023,AAPL,195.96,197,195.42,195.91,2738154,Err#404
09-03-2023,AAPL,199.31,200.83,198.45,199.44,503285,??Unknown??
10-03-2023,AAPL,198.83,199.74,198.28,198.05,3157303,Valid
11-03-2023,AAPL,197.28,199.02,196.28,197.17,3533361,Valid
12-03-2023,AAPL,191.38,192.99,190.11,190.47,2204491,<NULL>
13-03-2023,AAPL,194.79,196.47,193.1,195.43,1881688,Err#404
14-03-2023,AAPL,190.69,191.36,189.68,189.35,1602491,Valid
15-03-2023,AAPL,190.93,191.64,189.37,191.99,1165979,N/A
16-03-2023,AAPL,194.99,195.92,194.21,194.92,1284278,??Unknown??
17-03-2023,AAPL,188.46,189.74,186.84,188.01,1007553,Corrupt$
18-03-2023,AAPL,195.78,197.4,194.93,194.78,1476778,Corrupt$
19-03-2023,AAPL,195.43,197.18,194.71,196.46,4584457,Valid
20-03-2023,AAPL,192.24,193.8,191.47,191.59,2970562,??Unknown??
21-03-2023,AAPL,192.67,194.57,191.9,191.51,3038076,N/A
22-03-2023,AAPL,197.07,198.68,195.8,198.12,4298057,Corrupt$
23-03-2023,AAPL,197.05,198.01,195.28,,3698747,N/A
24-03-2023,AAPL,198.79,199.69,198.17,198.7,2402871,N/A
25-03-2023,AAPL,198.63,200.18,197.07,199.45,1122215,Corrupt$
26-03-2023,AAPL,203.6,204.38,202.11,203.75,2311049,Corrupt$
27-03-2023,AAPL,201.94,202.58,200.13,203.67,846229,Valid
28-03-2023,AAPL,200.28,201.58,199.42,199.45,1666572,<NULL>
29-03-2023,AAPL,201.52,203.25,200.35,201.31,2989799,??Unknown??
30-03-2023,AAPL,199.92,200.58,198.03,199.79,579971,Err#404
31-03-2023,AAPL,197.78,199.46,196.29,198.4,2373200,??Unknown??
01-04-2023,AAPL,199.31,201.03,198.22,200.6,2066049,Err#404
02-04-2023,AAPL,202.11,203.34,201.42,202.19,3349095,Corrupt$
03-04-2023,AAPL,199.8,200.39,198.91,199.66,1815502,N/A
04-04-2023,AAPL,204.42,205.18,203.05,202.94,4880088,??Unknown??
05-04-2023,AAPL,202.6,204.16,201.02,202.71,1699110,N/A
06-04-2023,AAPL,203.15,204.72,202.47,202.5,1346462,??Unknown??
07-04-2023,AAPL,201.13,202.98,199.73,201.75,1223879,<NULL>
08-04-2023,AAPL,202.5,203.87,201.17,202.09,4488571,Missing!
09-04-2023,AAPL,202.51,203.19,201.24,202.27,3832006,??Unknown??
10-04-2023,AAPL,202.23,202.91,200.7,,2119814,N/A
11-04-2023,AAPL,199.78,201.36,198.03,197.97,1944315,Missing!
12-04-2023,AAPL,201.59,202.36,200.6,203.45,2002718,Valid
13-04-2023,AAPL,202.88,203.88,201.05,203.01,3328340,<NULL>
14-04-2023,AAPL,200.93,202.16,200.19,201.34,1694737,Corrupt$
15-04-2023,AAPL,199.2,199.74,198.44,198.29,4043525,Valid
16-04-2023,AAPL,199.37,200.25,198.47,200.25,898825,Valid
17-04-2023,AAPL,202.92,204.03,202.24,203.61,2385190,??Unknown??
18-04-2023,AAPL,202.46,203.38,201.62,201.66,730596,Corrupt$
19-04-2023,AAPL,207.41,208.11,206.75,206.35,3379198,<NULL>
20-04-2023,AAPL,203.55,205.15,201.82,202.82,4622990,Missing!
21-04-2023,AAPL,203.28,205,202.58,203.26,4605810,??Unknown??
22-04-2023,AAPL,204.91,205.79,203.29,205.07,3242651,Err#404
23-04-2023,AAPL,202.51,204.17,201.94,202.55,1933482,??Unknown??
24-04-2023,AAPL,204.79,205.87,202.87,206.09,794358,Missing!
25-04-2023,AAPL,206.92,208.18,205.36,206.21,3373798,N/A
26-04-2023,AAPL,199.93,201.71,199.42,198.84,2082369,<NULL>
27-04-2023,AAPL,202.75,204.37,201.1,202.75,3486386,<NULL>
28-04-2023,AAPL,203.17,204.88,201.9,201.48,1681753,??Unknown??
29-04-2023,AAPL,203.94,204.65,202.27,204.64,1747752,Err#404
30-04-2023,AAPL,198.93,199.54,197.65,,3814479,??Unknown??
01-05-2023,AAPL,197.17,199.01,195.71,196.84,616908,Missing!
02-05-2023,AAPL,199.96,201.04,198.28,199.56,2843145,<NULL>
03-05-2023,AAPL,195.2,196.14,194.1,196.11,3875896,Err#404
04-05-2023,AAPL,205.23,206.82,204.73,206.11,1351563,Corrupt$
05-05-2023,AAPL,202.12,203.87,200.34,201.87,1350712,Missing!
