Date,Open,High,Low,Close,Volume,Market_Status
2023-01-01,99.89,100.86,98.05,99.81,1711569,Unknown
2023-01-02,99.83,101.09,98.37,98.83,1695885,Valid
2023-01-03,101.44,102.0,100.02,100.93,1656083,Unknown
2023-01-04,101.02,101.74,100.42,101.86,2474324,Unknown
2023-01-05,101.78,103.76,100.5,102.32,4398190,Corrupt
2023-01-06,102.58,104.53,101.86,102.34,3888445,Valid
2023-01-07,104.89,105.4,103.29,104.53,3242974,Corrupt
2023-01-08,108.29,110.22,107.02,107.9,3992099,Unknown
2023-01-09,107.52,108.98,106.0,106.6,1779180,Error
2023-01-10,109.8,111.6,109.24,111.42,3833178,Unknown
2023-01-11,100.64,101.82,100.01,100.32,3084182,Corrupt
2023-01-12,104.02,105.29,102.44,105.23,2308286,Valid
2023-01-13,103.54,104.77,102.93,105.06,4863089,Valid
2023-01-14,106.29,107.79,105.68,107.28,3297921,Corrupt
2023-01-15,99.06,99.77,98.54,98.62,4874142,Valid
2023-01-16,97.19,97.73,95.25,97.59,769160,N/A
2023-01-17,97.57,98.53,95.96,97.54,3069931,Error
2023-01-18,93.89,95.45,92.86,92.99,941904,Error
2023-01-19,96.32,97.13,95.38,96.65,1078526,Error
2023-01-20,93.65,95.16,92.62,92.47,1337393,Valid
2023-01-21,97.42,99.37,95.76,98.6,3845503,Valid
2023-01-22,97.15,97.79,95.65,96.68,1314422,Unknown
2023-01-23,100.66,102.17,99.88,100.86,1234983,Unknown
2023-01-24,99.41,100.58,98.65,99.69,2763429,Error
2023-01-25,93.81,95.61,93.16,93.55,3635812,N/A
2023-01-26,96.86,97.62,95.37,,4775115,Unknown
2023-01-27,96.35,97.89,94.7,95.87,3376280,Unknown
2023-01-28,92.79,94.55,91.89,93.66,3438687,Valid
2023-01-29,97.45,99.37,96.92,96.11,1916842,N/A
2023-01-30,97.41,98.94,96.79,,2831256,Error
2023-01-31,92.24,93.49,90.29,,4189024,Unknown
2023-02-01,92.3,93.73,91.36,91.3,4896650,N/A
2023-02-02,100.86,102.66,99.21,100.18,4202418,N/A
2023-02-03,94.21,95.57,92.77,94.72,2781608,Error
2023-02-04,98.98,99.53,97.91,99.16,4430010,N/A
2023-02-05,90.24,92.14,89.44,90.6,4141771,N/A
2023-02-06,93.11,94.65,92.43,93.6,4579441,N/A
2023-02-07,94.17,95.68,92.74,94.8,1460652,Unknown
2023-02-08,90.52,91.35,88.86,91.63,2688370,Error
2023-02-09,92.17,93.66,90.7,92.58,2048485,N/A
2023-02-10,93.95,95.04,92.65,93.71,2067343,N/A
2023-02-11,89.47,90.94,88.9,90.14,3825495,Unknown
2023-02-12,92.4,93.06,90.44,94.3,3885744,Error
2023-02-13,92.96,94.45,91.26,,1255612,Valid
2023-02-14,91.92,93.92,90.98,90.95,4494528,Unknown
2023-02-15,89.4,89.97,87.43,90.51,2576475,Error
2023-02-16,86.11,88.08,84.71,85.99,2641912,N/A
2023-02-17,86.83,87.94,85.46,84.66,3644311,Error
2023-02-18,92.97,94.78,91.35,93.82,785622,Error
2023-02-19,90.01,91.69,88.29,89.48,2462889,Error
2023-02-20,87.73,89.08,86.25,,2406862,Valid
2023-02-21,90.43,92.04,89.74,90.76,4526390,Error
2023-02-22,88.6,90.42,87.59,88.79,1896436,Valid
2023-02-23,91.57,92.68,89.68,92.28,1167540,N/A
2023-02-24,90.33,91.32,89.49,89.89,2695690,Valid
2023-02-25,95.76,97.27,94.71,96.28,2088236,N/A
2023-02-26,94.07,95.78,92.92,93.81,3482410,N/A
2023-02-27,89.38,91.02,88.22,90.11,1904355,Valid
2023-02-28,91.62,93.31,90.2,92.23,3175480,Unknown
2023-03-01,90.35,91.5,88.44,89.42,3924083,Corrupt
2023-03-02,93.41,95.14,92.55,94.49,2964722,Error
2023-03-03,88.33,89.01,87.65,87.8,3401092,Corrupt
2023-03-04,90.59,91.91,89.8,91.4,2750229,Error
2023-03-05,88.59,89.1,86.76,,2022534,Error
2023-03-06,83.97,84.95,82.5,85.81,2222907,N/A
2023-03-07,88.61,89.66,87.68,88.39,3015967,Error
2023-03-08,85.73,86.83,84.01,85.38,3370574,Error
