Kernel,Gamma,C,Degree,Accuracy
sigmoid,auto,1,10,0.8
sigmoid,auto,2,10,0.775
sigmoid,auto,3,10,0.7625
sigmoid,auto,4,10,0.7625
sigmoid,auto,5,10,0.775
sigmoid,auto,6,10,0.775
sigmoid,auto,7,10,0.7625
sigmoid,auto,8,10,0.7625
sigmoid,auto,9,10,0.7625
sigmoid,auto,10,10,0.7625
sigmoid,scale,1,10,0.8
sigmoid,scale,2,10,0.775
sigmoid,scale,3,10,0.7625
sigmoid,scale,4,10,0.7625
sigmoid,scale,5,10,0.775
sigmoid,scale,6,10,0.775
sigmoid,scale,7,10,0.7625
sigmoid,scale,8,10,0.7625
sigmoid,scale,9,10,0.7625
sigmoid,scale,10,10,0.7625
poly,auto,1,1,0.925
poly,auto,1,2,0.7375
poly,auto,1,3,0.9125
poly,auto,1,4,0.825
poly,auto,1,5,0.875
poly,auto,1,6,0.825
poly,auto,1,7,0.8625
poly,auto,1,8,0.825
poly,auto,1,9,0.8375
poly,auto,1,10,0.8
poly,auto,2,1,0.9125
poly,auto,2,2,0.7375
poly,auto,2,3,0.9125
poly,auto,2,4,0.825
poly,auto,2,5,0.8875
poly,auto,2,6,0.8375
poly,auto,2,7,0.85
poly,auto,2,8,0.825
poly,auto,2,9,0.8375
poly,auto,2,10,0.8125
poly,auto,3,1,0.9125
poly,auto,3,2,0.7375
poly,auto,3,3,0.9125
poly,auto,3,4,0.8125
poly,auto,3,5,0.875
poly,auto,3,6,0.8375
poly,auto,3,7,0.85
poly,auto,3,8,0.825
poly,auto,3,9,0.8375
poly,auto,3,10,0.8125
poly,auto,4,1,0.9125
poly,auto,4,2,0.7375
poly,auto,4,3,0.9125
poly,auto,4,4,0.8125
poly,auto,4,5,0.875
poly,auto,4,6,0.8375
poly,auto,4,7,0.85
poly,auto,4,8,0.825
poly,auto,4,9,0.8375
poly,auto,4,10,0.8125
poly,auto,5,1,0.9125
poly,auto,5,2,0.7375
poly,auto,5,3,0.9125
poly,auto,5,4,0.8125
poly,auto,5,5,0.875
poly,auto,5,6,0.8375
poly,auto,5,7,0.85
poly,auto,5,8,0.825
poly,auto,5,9,0.8375
poly,auto,5,10,0.8125
poly,auto,6,1,0.9125
poly,auto,6,2,0.7375
poly,auto,6,3,0.9125
poly,auto,6,4,0.8125
poly,auto,6,5,0.875
poly,auto,6,6,0.8375
poly,auto,6,7,0.8625
poly,auto,6,8,0.825
poly,auto,6,9,0.8375
poly,auto,6,10,0.8125
poly,auto,7,1,0.9125
poly,auto,7,2,0.7375
poly,auto,7,3,0.9125
poly,auto,7,4,0.8125
poly,auto,7,5,0.8625
poly,auto,7,6,0.8375
poly,auto,7,7,0.8625
poly,auto,7,8,0.825
poly,auto,7,9,0.8375
poly,auto,7,10,0.8125
poly,auto,8,1,0.9125
poly,auto,8,2,0.7375
poly,auto,8,3,0.9125
poly,auto,8,4,0.8125
poly,auto,8,5,0.8625
poly,auto,8,6,0.8375
poly,auto,8,7,0.8625
poly,auto,8,8,0.825
poly,auto,8,9,0.8375
poly,auto,8,10,0.8125
poly,auto,9,1,0.9125
poly,auto,9,2,0.7375
poly,auto,9,3,0.9125
poly,auto,9,4,0.8125
poly,auto,9,5,0.8625
poly,auto,9,6,0.8375
poly,auto,9,7,0.8625
poly,auto,9,8,0.825
poly,auto,9,9,0.8375
poly,auto,9,10,0.8125
poly,auto,10,1,0.9125
poly,auto,10,2,0.7375
poly,auto,10,3,0.9125
poly,auto,10,4,0.8125
poly,auto,10,5,0.8625
poly,auto,10,6,0.8375
poly,auto,10,7,0.8625
poly,auto,10,8,0.825
poly,auto,10,9,0.8375
poly,auto,10,10,0.8125
poly,scale,1,1,0.925
poly,scale,1,2,0.7375
poly,scale,1,3,0.9125
poly,scale,1,4,0.825
poly,scale,1,5,0.875
poly,scale,1,6,0.825
poly,scale,1,7,0.8625
poly,scale,1,8,0.825
poly,scale,1,9,0.8375
poly,scale,1,10,0.8
poly,scale,2,1,0.9125
poly,scale,2,2,0.7375
poly,scale,2,3,0.9125
poly,scale,2,4,0.825
poly,scale,2,5,0.8875
poly,scale,2,6,0.8375
poly,scale,2,7,0.85
poly,scale,2,8,0.825
poly,scale,2,9,0.8375
poly,scale,2,10,0.8125
poly,scale,3,1,0.9125
poly,scale,3,2,0.7375
poly,scale,3,3,0.9125
poly,scale,3,4,0.8125
poly,scale,3,5,0.875
poly,scale,3,6,0.8375
poly,scale,3,7,0.85
poly,scale,3,8,0.825
poly,scale,3,9,0.8375
poly,scale,3,10,0.8125
poly,scale,4,1,0.9125
poly,scale,4,2,0.7375
poly,scale,4,3,0.9125
poly,scale,4,4,0.8125
poly,scale,4,5,0.875
poly,scale,4,6,0.8375
poly,scale,4,7,0.85
poly,scale,4,8,0.825
poly,scale,4,9,0.8375
poly,scale,4,10,0.8125
poly,scale,5,1,0.9125
poly,scale,5,2,0.7375
poly,scale,5,3,0.9125
poly,scale,5,4,0.8125
poly,scale,5,5,0.875
poly,scale,5,6,0.8375
poly,scale,5,7,0.85
poly,scale,5,8,0.825
poly,scale,5,9,0.8375
poly,scale,5,10,0.8125
poly,scale,6,1,0.9125
poly,scale,6,2,0.7375
poly,scale,6,3,0.9125
poly,scale,6,4,0.8125
poly,scale,6,5,0.875
poly,scale,6,6,0.8375
poly,scale,6,7,0.8625
poly,scale,6,8,0.825
poly,scale,6,9,0.8375
poly,scale,6,10,0.8125
poly,scale,7,1,0.9125
poly,scale,7,2,0.7375
poly,scale,7,3,0.9125
poly,scale,7,4,0.8125
poly,scale,7,5,0.8625
poly,scale,7,6,0.8375
poly,scale,7,7,0.8625
poly,scale,7,8,0.825
poly,scale,7,9,0.8375
poly,scale,7,10,0.8125
poly,scale,8,1,0.9125
poly,scale,8,2,0.7375
poly,scale,8,3,0.9125
poly,scale,8,4,0.8125
poly,scale,8,5,0.8625
poly,scale,8,6,0.8375
poly,scale,8,7,0.8625
poly,scale,8,8,0.825
poly,scale,8,9,0.8375
poly,scale,8,10,0.8125
poly,scale,9,1,0.9125
poly,scale,9,2,0.7375
poly,scale,9,3,0.9125
poly,scale,9,4,0.8125
poly,scale,9,5,0.8625
poly,scale,9,6,0.8375
poly,scale,9,7,0.8625
poly,scale,9,8,0.825
poly,scale,9,9,0.8375
poly,scale,9,10,0.8125
poly,scale,10,1,0.9125
poly,scale,10,2,0.7375
poly,scale,10,3,0.9125
poly,scale,10,4,0.8125
poly,scale,10,5,0.8625
poly,scale,10,6,0.8375
poly,scale,10,7,0.8625
poly,scale,10,8,0.825
poly,scale,10,9,0.8375
poly,scale,10,10,0.8125
